,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1978.0,35.0,22.0,0.0,85.0
1,1956.0,22.0,44.0,1.0,107.0
2,1945.0,5.0,55.0,2.0,112.0
3,1941.0,3.0,59.0,3.0,115.0
4,1939.0,0.0,61.0,4.0,115.0
5,1939.0,0.0,61.0,5.0,115.0
6,1939.0,0.0,61.0,6.0,115.0
7,1939.0,0.0,61.0,7.0,115.0
8,1939.0,0.0,61.0,8.0,115.0
9,1939.0,0.0,61.0,9.0,115.0
10,1939.0,0.0,61.0,10.0,115.0
11,1939.0,0.0,61.0,11.0,115.0
12,1939.0,0.0,61.0,12.0,115.0
13,1939.0,0.0,61.0,13.0,115.0
14,1939.0,0.0,61.0,14.0,115.0
15,1939.0,0.0,61.0,15.0,115.0
16,1939.0,0.0,61.0,16.0,115.0
17,1939.0,0.0,61.0,17.0,115.0
18,1939.0,0.0,61.0,18.0,115.0
19,1939.0,0.0,61.0,19.0,115.0
20,1939.0,0.0,61.0,20.0,115.0
